C2H2,C2H4,CH4,H2,C2H6,act
0.04,4.0,4.8,7.23,3.85,6
5.35,0.28,0.21,5.38,7.94,3
0.02,6.98,1.74,3.1,8.28,7
5.91,6.23,7.9,5.99,10.28,1
0.01,7.28,9.67,8.05,8.69,7
0.87,7.29,0.38,3.54,4.59,4
0.04,3.38,7.6,8.03,1.24,6
0.0,9.84,2.31,9.01,3.6,6
0.0,8.32,1.93,6.62,0.18,5
0.0,4.13,9.78,3.45,0.11,5
0.11,8.86,5.19,7.5,9.81,7
0.13,6.82,3.01,5.02,6.05,7
7.54,8.05,1.5,0.6,8.84,1
0.02,5.72,3.32,3.14,6.21,7
1.9,2.92,0.95,1.52,2.46,4
9.11,6.8,3.47,5.9,9.58,1
0.06,5.79,5.6,2.7,1.92,6
0.02,1.23,1.2,7.58,2.19,6
0.0,8.05,0.06,9.44,0.02,2
0.0,3.23,0.08,8.41,0.04,2
0.0,1.87,3.31,3.44,3.32,6
8.08,0.66,0.31,1.31,9.11,3
7.01,0.7,0.15,4.46,1.34,3
0.04,8.13,8.87,7.84,8.81,7
1.5,2.38,2.65,0.14,8.78,1
1.95,6.06,0.7,4.16,8.03,4
0.04,9.73,9.32,3.94,1.75,6
0.03,7.34,8.75,1.25,6.66,7
1.09,0.5,0.43,7.89,3.86,3
0.07,9.88,5.16,2.87,1.63,6
0.08,1.06,8.46,4.52,3.52,6
1.74,7.32,0.58,1.62,6.62,4
0.0,3.48,0.04,5.23,0.0,2
0.14,4.32,9.3,1.6,5.95,7
10.42,5.14,9.4,6.15,0.27,1
0.18,7.95,2.31,3.55,5.53,7
3.77,1.89,3.74,0.88,2.29,1
0.07,1.98,5.47,9.58,1.17,6
1.57,3.82,0.44,7.91,8.95,4
0.19,7.33,4.05,4.17,6.95,7
0.0,9.25,6.3,5.7,0.59,5
0.75,3.18,0.64,8.08,5.09,4
0.63,4.16,0.74,7.51,8.49,4
3.0,6.91,8.74,3.68,5.7,1
2.04,6.69,0.26,1.05,6.56,4
1.82,7.0,0.77,3.3,5.22,4
0.0,7.79,7.76,2.19,0.55,5
0.08,7.07,7.27,4.98,4.89,7
0.02,4.19,4.3,5.31,3.82,6
6.51,0.21,0.47,9.4,6.66,3
0.03,6.19,3.81,2.45,6.96,7
7.98,5.86,10.48,7.98,4.9,1
0.0,2.11,5.66,2.4,0.24,5
5.37,0.66,0.1,1.71,1.21,3
1.83,1.45,0.64,6.02,4.24,4
9.26,0.89,0.39,4.78,8.52,3
0.16,3.21,9.73,2.15,6.37,7
0.74,9.06,0.95,6.7,8.69,4
1.07,0.71,0.33,5.36,2.34,3
10.36,8.54,5.55,0.8,1.26,1
0.15,8.34,5.03,4.6,9.81,7
0.0,1.31,0.09,1.53,0.09,2
0.0,9.06,0.02,4.65,0.01,2
4.07,0.8,5.03,8.59,4.7,1
7.18,9.16,2.95,9.05,0.04,1
0.0,7.9,1.96,7.65,0.72,5
0.7,3.78,0.96,5.12,6.2,4
0.04,9.16,6.47,3.29,2.17,6
0.0,5.91,9.43,7.26,0.12,5
0.84,1.08,0.95,6.38,5.49,4
2.99,0.69,0.46,6.16,7.74,3
0.04,7.58,5.29,9.54,3.38,6
0.1,3.3,7.65,3.23,6.31,7
7.41,7.42,5.42,8.17,8.29,1
9.02,0.16,0.3,3.16,6.9,3
0.0,7.14,0.03,7.96,0.02,2
0.01,2.87,3.98,1.9,2.32,6
0.06,2.02,4.93,5.46,1.62,6
0.02,7.44,2.31,2.15,5.58,7
0.0,8.21,0.08,7.86,0.05,2
4.63,0.65,0.3,8.75,7.61,3
3.77,0.71,0.24,1.07,3.84,3
4.99,2.05,7.5,2.22,4.43,1
0.19,7.24,7.39,4.15,5.99,7
0.0,4.67,0.06,9.45,0.11,2
3.59,2.21,4.24,6.33,4.25,1
0.0,6.67,4.02,5.47,0.35,5
5.58,0.41,0.41,5.49,7.51,3
0.08,6.23,4.74,9.52,1.97,6
0.07,8.35,1.99,3.72,1.53,6
0.18,6.21,3.94,7.7,8.8,7
0.0,9.38,7.17,5.82,0.56,5
0.0,7.69,0.03,2.85,0.02,2
5.82,0.62,0.22,9.46,6.97,3
0.08,2.28,5.14,4.31,7.4,7
0.0,1.47,3.11,8.93,0.97,5
3.1,0.53,0.36,2.41,7.25,3
0.0,1.58,7.36,7.7,0.24,5
0.0,1.36,6.51,8.13,3.57,6
7.46,0.56,0.12,6.67,5.24,3
0.03,4.49,7.74,7.09,1.03,6
0.16,6.63,3.34,5.96,4.78,7
0.0,5.41,4.8,9.82,0.57,5
1.56,7.7,0.84,2.99,9.45,4
0.13,7.82,8.64,4.2,4.03,7
1.5,1.36,0.2,3.9,9.0,4
2.39,8.62,0.22,3.51,4.59,4
5.68,0.58,0.47,7.17,4.7,3
8.95,3.35,8.39,9.12,2.21,1
2.2,9.25,0.23,5.62,7.87,4
1.51,6.32,3.21,4.33,0.48,1
0.0,5.23,2.5,3.55,0.01,5
0.05,6.17,8.78,8.52,5.07,7
2.3,7.32,0.87,1.88,6.29,4
7.5,0.7,0.14,4.5,8.71,3
0.07,4.75,3.64,7.25,6.64,7
3.61,7.74,8.48,1.48,10.06,1
0.02,1.51,5.55,1.83,2.2,6
0.16,2.26,5.1,5.42,5.64,7
0.0,6.06,0.03,4.89,0.12,2
10.89,0.89,9.85,6.76,4.35,1
1.94,8.53,0.98,7.23,6.27,4
4.82,2.91,6.57,4.9,9.04,1
0.0,2.71,3.59,2.73,0.13,5
0.0,4.54,0.07,6.95,0.15,2
0.08,4.64,5.4,1.37,2.08,6
0.0,4.53,0.07,3.09,0.02,2
8.79,9.33,5.96,3.3,5.95,1
0.04,2.19,4.11,9.9,8.1,7
0.0,2.25,0.07,1.71,0.06,2
0.0,6.39,0.04,4.63,0.09,2
0.0,8.2,0.07,3.47,0.15,2
0.03,5.56,8.65,6.09,2.53,6
8.71,0.48,0.25,5.89,9.96,3
0.0,6.79,0.02,2.26,0.03,2
0.0,5.03,0.07,1.74,0.02,2
0.06,3.85,1.39,5.89,1.14,6
1.68,3.37,0.69,2.17,4.18,4
0.84,3.07,0.57,6.48,6.02,4
2.49,3.77,0.28,3.27,9.07,4
0.16,4.77,4.86,2.67,9.8,7
0.0,9.63,4.57,5.86,0.42,5
5.16,0.62,0.44,6.81,5.1,3
2.36,0.3,0.3,7.17,6.48,3
0.0,5.22,2.29,7.24,0.05,5
1.22,3.84,0.81,1.74,5.61,4
0.02,3.18,2.7,5.75,1.6,6
2.28,7.33,0.12,3.53,5.85,4
2.28,0.34,0.39,8.0,2.13,3
0.0,2.37,1.36,1.78,0.53,5
0.16,9.17,1.04,5.21,5.85,7
0.0,4.18,5.18,9.96,0.76,5
6.32,0.27,0.11,2.53,9.02,3
0.1,9.68,7.21,2.33,8.88,7
0.06,4.28,6.36,5.7,1.25,6
0.0,4.69,0.06,5.37,0.0,2
1.99,4.19,10.46,8.51,8.59,1
0.0,7.76,0.06,3.2,0.02,2
0.0,9.5,7.5,3.21,0.69,5
2.29,3.39,0.23,4.48,5.5,4
0.06,5.65,3.76,3.69,6.87,7
0.06,2.45,6.57,8.13,2.55,6
0.0,8.56,7.36,9.74,0.46,5
3.98,0.56,0.29,5.88,8.39,3
0.08,8.67,4.18,8.61,8.84,7
0.07,8.24,8.05,5.1,3.95,6
0.02,8.11,3.21,3.78,5.49,7
0.04,9.79,6.01,6.64,9.03,7
0.0,3.8,0.05,3.8,0.16,2
1.51,7.27,0.31,9.2,9.5,4
2.36,4.55,0.52,4.88,9.62,4
0.0,1.12,7.62,5.63,2.34,6
0.0,1.51,0.03,3.11,0.02,2
0.0,2.61,3.16,5.9,0.58,5
0.04,3.42,1.36,3.73,7.28,7
0.05,5.35,9.28,5.36,3.58,6
0.09,7.3,3.31,5.73,2.88,6
0.1,9.68,7.67,9.9,8.81,7
0.0,3.12,6.89,1.44,0.7,5
0.0,3.77,0.07,9.81,0.1,2
0.07,4.18,8.33,5.0,1.48,6
1.71,3.66,0.51,7.87,9.39,4
4.04,1.87,4.34,1.09,3.08,1
1.43,2.85,0.27,4.78,7.04,4
0.0,9.35,9.31,5.01,0.66,5
6.58,0.21,0.21,3.16,7.79,3
0.0,1.94,0.06,9.23,0.19,2
8.52,4.56,1.88,4.43,5.83,1
0.0,9.88,4.2,4.54,0.51,5
8.72,0.95,0.14,8.24,1.59,3
3.7,0.81,0.27,2.41,6.0,3
5.0,0.39,0.34,2.95,5.2,3
3.55,3.33,2.02,2.93,10.0,1
0.0,5.69,3.84,4.37,0.03,5
0.09,8.33,6.88,2.22,5.64,7
6.31,9.46,10.43,5.95,6.64,1
0.02,3.13,6.66,8.59,5.56,7
0.0,7.0,1.33,1.66,0.86,5
0.0,8.43,0.0,2.93,0.17,2
0.06,1.05,5.53,3.25,1.84,6
0.0,4.34,8.9,2.64,0.39,5
4.06,0.53,0.15,4.32,6.81,3
0.08,1.21,7.05,7.56,1.97,6
0.0,8.05,6.6,7.58,0.41,5
5.35,5.22,1.69,5.54,8.4,1
1.86,8.3,0.15,5.24,7.32,4
8.97,8.75,3.91,10.12,1.72,1
0.08,9.44,4.63,2.6,2.17,6
2.2,1.43,0.67,2.49,5.14,4
9.31,0.68,0.21,9.85,6.12,3
7.86,0.38,0.23,8.6,4.36,3
0.0,3.59,0.07,8.36,0.1,2
0.0,6.37,0.04,2.98,0.04,2
8.92,0.6,0.31,6.18,6.56,3
3.8,0.73,0.15,6.72,2.61,3
0.0,1.86,5.66,5.2,0.57,5
1.42,7.31,0.81,5.36,4.23,4
0.67,1.79,0.36,9.92,5.96,4
0.11,6.69,3.4,2.96,8.64,7
8.15,0.91,0.22,7.33,8.58,3
0.0,3.29,0.02,1.89,0.1,2
0.01,6.2,9.21,3.14,2.78,6
0.0,1.81,3.78,3.35,0.59,5
0.09,7.55,5.86,4.82,1.48,6
0.03,2.95,4.97,8.7,3.83,6
4.37,0.76,0.28,4.2,5.0,3
0.09,8.99,2.62,5.58,3.33,6
6.51,0.37,0.17,5.12,8.56,3
0.0,8.81,8.08,3.02,0.86,5
3.0,0.64,0.27,7.86,8.81,3
0.0,1.37,0.03,3.35,0.06,2
8.58,0.29,0.26,2.01,6.85,3
2.43,0.11,0.21,8.32,5.81,3
0.0,9.53,0.08,4.91,0.03,2
0.0,4.02,1.15,1.46,0.02,5
0.06,1.86,3.34,6.22,9.13,7
0.07,5.64,1.52,9.85,7.1,7
0.06,8.8,2.07,2.86,9.52,7
2.17,4.62,0.85,8.82,4.55,4
8.18,3.33,1.25,2.75,4.77,1
0.0,3.09,9.91,7.38,3.51,6
0.18,7.9,1.56,8.51,8.04,7
0.0,7.53,9.4,9.59,0.96,5
0.06,5.72,8.22,6.41,2.75,6
2.41,8.69,0.47,7.34,9.57,4
4.75,10.43,3.74,3.73,6.27,1
0.0,7.22,7.89,2.16,0.07,5
0.0,2.55,0.02,5.7,0.07,2
4.94,0.73,0.24,9.15,7.1,3
0.0,9.5,7.19,7.49,0.95,5
0.0,2.21,0.08,8.88,0.1,2
9.76,0.11,0.21,2.46,4.1,3
0.0,3.79,0.08,3.27,0.05,2
6.7,10.74,1.9,8.16,0.2,1
7.31,3.51,2.05,8.77,2.47,1
0.0,2.67,6.25,3.55,0.86,5
0.04,5.55,1.16,7.64,2.93,6
0.0,4.08,0.03,9.79,0.19,2
1.19,0.35,0.47,4.37,4.61,3
0.0,9.65,1.35,3.3,8.07,7
0.0,9.37,8.01,3.98,0.94,5
0.0,7.22,0.04,4.54,0.08,2
7.2,6.27,0.88,7.47,4.58,1
0.01,2.79,5.49,9.6,1.48,6
0.03,1.56,6.55,1.91,5.32,7
0.0,6.28,0.08,2.48,0.01,2
0.03,2.71,3.99,8.4,1.3,6
0.02,1.32,4.17,2.88,9.91,7
0.03,4.17,7.45,8.71,1.75,6
3.44,0.12,0.25,3.35,6.49,3
6.81,0.71,0.13,5.45,4.31,3
5.03,1.0,0.16,8.44,7.68,3
0.05,6.21,3.14,2.2,2.7,6
0.0,7.25,5.28,2.4,0.65,5
0.03,1.22,9.76,8.34,2.93,6
0.0,6.37,0.09,9.24,0.09,2
0.0,8.19,0.03,9.58,0.13,2
0.0,2.63,0.04,1.25,0.15,2
0.0,3.84,3.91,8.07,0.61,5
6.18,0.22,0.24,2.77,8.69,3
0.04,1.61,4.38,1.24,6.5,7
0.0,3.55,7.76,2.03,3.77,6
0.05,6.94,2.26,3.82,4.4,7
0.0,7.54,6.27,2.15,0.81,5
1.75,1.02,0.28,9.74,9.5,4
0.0,9.82,0.01,5.93,0.13,2
0.0,2.4,0.03,3.25,0.09,2
0.0,6.87,0.01,7.87,0.01,2
1.55,0.81,0.12,9.05,2.51,3
0.0,8.97,4.63,1.23,7.64,7
0.1,7.56,10.21,6.53,1.76,1
9.91,7.86,5.1,7.78,6.23,1
0.0,3.46,9.21,5.43,0.93,5
0.0,5.32,7.39,5.71,8.52,7
0.04,3.91,9.27,2.25,1.01,6
0.03,7.12,7.83,1.61,4.4,7
6.14,8.83,9.23,6.59,5.15,1
5.35,3.12,8.76,2.42,9.07,1
0.0,2.54,8.45,5.97,0.24,5
0.96,4.94,1.96,5.74,3.39,1
0.0,3.94,0.08,1.11,0.04,2
6.98,0.55,0.39,7.64,7.01,3
0.09,5.83,8.9,9.49,7.64,7
3.75,9.85,7.65,8.28,4.63,1
4.74,0.46,0.42,5.45,2.45,3
0.0,7.86,0.0,8.31,0.08,2
0.04,9.21,3.11,4.69,2.4,6
6.11,0.66,0.18,4.72,3.16,3
0.0,9.28,0.0,8.46,0.08,2
0.0,2.33,1.41,8.58,0.09,5
9.83,0.46,0.25,2.77,2.95,3
2.95,0.75,0.48,6.95,6.03,3
3.19,0.82,0.21,4.52,5.33,3
0.94,3.25,0.99,5.67,3.58,4
0.0,4.63,0.07,4.37,0.15,2
7.59,0.14,0.39,3.78,4.48,3
0.09,8.46,5.7,5.27,2.91,6
0.0,3.82,4.06,2.92,0.52,5
0.09,1.12,9.21,6.48,6.69,7
0.0,6.94,3.18,8.97,3.37,6
0.0,4.18,5.57,6.19,0.21,5
0.0,3.63,4.55,3.27,0.72,5
0.0,7.9,0.05,7.71,0.02,2
0.0,6.93,6.53,6.4,0.11,5
0.03,8.32,6.79,9.71,9.03,7
0.01,5.34,7.51,9.43,4.35,7
6.77,0.46,0.34,6.0,8.04,3
2.39,0.76,0.26,9.6,8.28,3
3.74,0.41,0.41,9.07,1.83,3
0.0,8.43,2.99,6.9,0.52,5
0.07,9.29,3.91,2.07,1.85,6
1.42,0.13,0.26,6.24,2.58,3
7.73,0.1,0.18,5.22,7.31,3
0.0,2.47,0.06,2.06,0.11,2
0.0,7.06,5.79,9.07,0.75,5
0.0,5.84,0.03,9.33,0.18,2
2.68,0.87,0.3,2.86,2.5,3
0.05,1.77,6.95,3.83,3.21,6
0.06,6.14,7.34,5.08,2.31,6
0.0,5.57,8.08,2.88,0.28,5
0.13,6.73,7.79,2.79,4.38,7
4.94,0.8,0.25,9.4,9.31,3
1.81,2.23,2.84,7.22,9.44,1
0.0,1.96,0.05,5.45,0.17,2
0.0,1.57,9.91,1.16,0.8,5
0.0,5.72,0.07,4.93,0.11,2
1.91,6.4,0.15,5.29,9.55,4
6.56,0.98,0.24,4.96,4.18,3
1.44,6.26,0.63,3.76,9.65,4
0.03,1.42,3.15,1.19,2.71,6
1.08,1.71,0.6,9.3,7.99,4
0.0,3.72,1.09,4.23,0.93,5
1.84,1.0,0.38,4.93,5.94,3
9.18,0.77,0.2,1.17,2.79,3
0.0,7.07,6.83,7.65,0.13,5
3.77,0.8,0.63,1.78,7.58,1
0.0,1.42,3.58,8.05,0.59,5
0.05,5.74,4.41,1.42,3.52,6
6.17,0.94,0.2,5.41,1.81,3
0.03,7.32,8.65,6.37,2.15,6
0.05,5.33,8.09,7.93,2.07,6
1.14,0.36,0.29,3.14,8.79,3
0.01,7.73,4.3,6.26,2.83,6
0.08,6.48,5.92,1.45,8.13,7
0.05,3.84,1.33,3.26,9.73,7
0.0,5.53,1.24,6.49,0.2,5
0.17,2.46,2.23,3.43,9.79,7
0.0,8.9,1.17,4.12,0.56,5
3.69,7.76,1.58,2.08,1.13,1
0.06,4.84,6.01,5.39,3.21,6
0.0,8.31,0.04,6.65,0.13,2
10.53,0.42,1.05,6.56,1.05,1
0.0,1.56,6.47,2.38,0.87,5
1.08,5.3,0.21,2.0,4.03,4
0.11,7.37,6.66,5.79,6.38,7
0.0,3.1,0.09,7.48,0.06,2
5.49,2.74,0.02,7.92,5.91,1
0.0,4.18,1.95,5.02,0.01,5
5.82,0.13,0.35,3.25,5.25,3
0.06,4.69,3.54,3.75,3.26,6
0.0,3.66,1.45,9.96,0.04,5
1.89,7.71,1.83,7.46,6.73,1
0.0,9.42,0.03,2.85,0.14,2
0.08,2.3,8.58,5.44,8.07,7
0.0,1.81,9.31,5.83,0.63,5
0.01,2.2,7.17,7.67,1.02,6
1.84,8.35,0.58,9.61,7.2,4
0.02,4.22,2.04,3.63,1.7,6
0.01,4.75,7.4,3.81,1.89,6
5.35,5.91,9.69,2.47,3.19,1
7.39,7.68,10.32,8.65,6.03,1
4.09,0.12,0.41,4.79,4.14,3
0.0,8.07,0.02,3.81,0.12,2
8.6,2.25,7.71,8.36,4.48,1
0.07,9.49,2.41,6.89,4.27,7
4.92,0.38,0.3,8.52,2.46,3
4.76,0.14,0.38,3.96,4.87,3
0.0,5.11,0.09,4.39,0.18,2
0.14,7.78,6.66,1.58,5.39,7
0.0,7.13,5.9,7.94,0.63,5
0.8,5.06,0.45,7.68,3.88,4
9.78,0.11,0.47,4.31,1.46,3
0.0,7.55,0.02,1.18,0.08,2
0.03,2.2,5.2,3.42,8.14,7
0.51,9.99,0.21,1.61,4.31,1
6.59,9.07,5.73,10.12,5.91,1
0.0,6.05,0.08,9.16,0.12,2
0.84,7.56,0.72,4.55,9.68,4
1.66,8.79,0.59,3.69,2.74,4
0.02,4.15,8.7,6.01,3.67,6
0.02,9.12,6.31,7.96,5.51,7
1.49,6.61,0.5,9.9,9.49,4
0.06,5.18,1.16,2.07,2.15,6
0.03,5.33,5.83,5.06,7.32,7
6.67,6.64,0.81,0.07,4.22,1
0.0,1.43,5.84,3.49,0.35,5
7.06,0.36,0.49,9.57,4.13,3
2.26,6.47,0.74,1.77,7.87,4
6.83,1.69,6.5,7.61,6.47,1
2.47,2.86,0.16,1.54,7.06,4
0.0,8.36,0.03,6.54,0.13,2
2.19,8.1,0.49,2.6,8.91,4
0.0,9.68,0.03,3.43,0.16,2
8.96,0.62,0.46,5.06,6.91,3
3.6,0.8,10.24,5.72,3.01,1
9.79,7.21,10.0,10.12,5.12,1
0.04,3.82,7.22,4.15,2.27,6
0.08,9.68,6.83,7.66,7.31,7
8.31,0.26,0.35,2.23,1.54,3
0.06,6.6,4.12,9.5,2.06,6
0.0,3.65,7.0,6.16,0.27,5
0.75,4.82,0.74,2.98,8.82,4
5.63,0.34,0.19,4.12,6.33,3
2.04,6.91,0.46,4.52,7.25,4
0.09,8.65,9.16,7.82,9.07,7
0.0,7.61,0.07,7.61,0.03,2
0.0,5.94,0.07,9.71,0.05,2
9.36,1.99,9.12,3.02,1.98,1
7.82,0.17,0.31,1.77,3.3,3
0.06,3.95,5.7,8.9,6.65,7
0.0,7.94,0.05,4.24,0.01,2
4.35,0.98,0.17,5.39,7.08,3
0.03,4.4,7.66,8.76,2.4,6
0.03,2.98,6.49,2.55,3.57,6
0.0,1.45,3.29,1.61,0.02,5
0.08,4.06,7.74,9.11,1.72,6
0.0,9.49,0.06,8.21,0.04,2
1.98,5.7,0.6,7.11,8.5,4
0.0,1.83,5.92,9.21,0.95,5
2.58,0.46,0.42,5.89,1.3,3
0.02,9.84,6.24,8.39,3.3,6
0.83,8.23,0.22,6.61,7.39,4
0.08,5.65,4.02,6.5,2.86,6
7.99,0.15,0.47,2.57,2.4,3
1.88,1.44,1.19,2.45,3.29,1
9.89,2.03,1.13,2.43,1.51,1
0.0,8.14,8.97,2.49,0.36,5
0.18,7.62,8.49,1.19,7.28,7
2.64,4.54,4.32,0.8,5.97,1
0.0,1.7,0.09,8.76,0.1,2
1.49,1.41,0.8,5.94,3.82,4
0.0,4.13,8.89,5.91,0.9,5
1.88,3.55,0.81,1.79,5.81,4
0.0,3.59,0.01,8.64,0.18,2
0.0,8.96,0.06,2.22,0.01,2
4.38,5.82,4.92,4.03,7.26,1
0.14,7.97,3.96,6.81,5.75,7
0.08,7.12,8.49,9.17,3.31,6
2.21,4.14,0.39,9.36,4.28,4
0.01,3.93,2.47,2.18,7.68,7
0.61,4.68,0.01,3.23,8.36,1
0.0,2.38,0.01,3.21,0.13,2
2.11,0.32,0.14,5.34,9.29,3
9.64,9.26,3.45,1.88,0.16,1
0.04,1.69,7.59,6.28,3.78,6
0.0,5.38,0.06,5.58,0.06,2
6.62,2.55,6.06,9.54,0.17,1
0.04,8.63,5.88,3.31,8.32,7
4.59,4.07,4.5,6.19,1.94,1
0.75,1.19,3.38,1.93,1.13,1
0.0,2.32,6.62,8.37,0.2,5
0.0,4.32,7.7,4.5,1.28,6
4.94,0.12,0.48,7.5,1.71,3
0.06,6.43,4.76,4.94,3.64,6
0.12,3.01,5.41,4.92,5.23,7
1.45,0.18,0.17,1.4,6.76,3
0.0,7.38,0.09,9.94,0.05,2
0.17,5.05,3.39,8.02,8.07,7
0.06,7.38,3.94,5.19,5.03,7
4.1,7.75,2.02,6.26,2.49,1
0.03,3.12,9.3,4.3,2.15,6
0.1,7.55,8.81,5.68,4.77,7
0.17,6.27,7.76,1.88,6.75,7
10.21,0.17,3.1,9.17,9.81,1
0.03,8.12,6.42,5.7,1.38,6
0.0,5.06,1.94,8.61,0.51,5
1.54,0.33,0.13,8.09,7.59,3
0.08,4.42,4.42,8.38,3.69,6
0.06,7.59,3.48,8.12,8.16,7
6.3,3.94,4.94,2.02,7.61,1
0.0,3.65,8.6,8.16,0.23,5
2.09,3.93,0.11,6.23,4.99,4
9.42,0.91,1.08,4.41,8.91,1
0.14,3.02,2.03,8.79,5.05,7
0.07,1.61,1.62,4.01,3.6,6
0.18,4.92,1.16,9.91,7.34,7
2.93,0.69,0.16,3.8,5.49,3
0.72,1.25,0.86,6.64,8.78,4
0.05,6.48,4.47,4.57,6.93,7
2.23,1.62,0.35,7.63,2.39,4
8.25,0.2,0.38,8.12,9.68,3
6.87,4.71,6.35,3.71,8.2,1
0.04,4.76,2.14,7.97,2.88,6
0.0,6.54,0.01,9.72,0.0,2
0.15,8.0,3.51,2.9,8.8,7
0.02,1.57,9.43,8.79,6.01,7
0.15,7.1,1.33,9.63,9.2,7
0.0,2.99,9.53,4.62,0.76,5
7.86,10.27,3.63,4.74,3.91,1
0.06,2.13,5.96,7.06,9.44,7
0.64,7.27,4.27,0.6,4.17,1
0.75,2.66,0.11,5.26,3.19,4
0.0,6.98,0.04,1.49,0.15,2
0.02,4.62,9.49,2.24,3.51,6
5.95,0.36,0.36,1.6,4.47,3
8.25,0.13,0.23,5.27,9.89,3
0.12,7.39,3.91,4.4,6.8,7
0.04,8.36,8.05,5.52,1.44,6
0.0,5.14,0.04,6.55,0.14,2
0.12,4.5,3.33,4.24,5.5,7
0.0,6.31,7.02,3.99,0.8,5
0.0,5.35,0.02,3.09,0.16,2
1.82,6.46,0.57,3.68,8.42,4
0.0,7.03,3.08,2.7,0.51,5
2.48,1.88,0.87,6.81,7.65,4
2.5,1.09,0.99,6.65,3.03,4
2.72,5.82,2.29,7.78,10.41,1
0.0,9.68,0.05,2.49,0.17,2
0.0,3.5,0.04,9.39,0.0,2
0.0,4.78,0.05,8.54,0.11,2
2.48,0.26,0.38,4.7,3.85,3
0.08,9.95,4.85,5.09,3.09,6
0.04,5.5,3.78,2.07,2.39,6
0.15,7.35,8.56,3.52,8.74,7
0.57,7.77,5.84,5.5,4.52,1
0.0,7.75,0.03,7.44,0.09,2
8.56,2.26,7.46,9.22,8.67,1
0.19,6.17,9.43,6.23,5.78,7
0.0,6.55,6.18,7.66,0.37,5
0.16,2.12,2.48,7.9,4.52,7
1.01,8.06,2.9,0.45,5.9,1
1.15,0.73,0.27,5.89,3.75,3
0.0,9.62,2.76,5.3,0.07,5
0.0,6.65,4.86,2.91,0.29,5
1.72,9.02,0.66,2.71,2.07,4
0.02,8.53,6.23,6.95,8.31,7
0.0,1.04,3.23,3.57,2.58,6
2.06,0.76,0.13,8.38,1.55,3
4.97,3.58,2.22,1.1,5.7,1
1.33,4.56,3.94,5.79,6.15,1
1.64,2.93,0.53,4.59,3.92,4
1.94,0.26,0.33,2.31,6.1,3
0.0,6.85,0.06,5.54,0.05,2
1.88,7.56,0.41,3.17,8.3,4
0.13,5.65,9.58,2.85,4.66,7
0.0,4.36,0.01,9.81,0.11,2
0.0,3.81,6.27,7.83,0.34,5
0.08,2.37,9.32,7.62,2.63,6
0.61,8.26,0.53,5.86,6.28,4
2.36,3.48,0.85,2.23,5.7,4
2.4,0.38,0.14,9.16,9.27,3
0.0,1.05,9.54,3.86,0.18,5
0.05,2.87,3.45,1.91,3.59,6
1.15,2.48,0.32,9.26,2.86,4
0.07,2.92,7.65,8.86,8.53,7
8.64,0.47,0.22,9.43,1.32,3
0.16,7.03,5.77,9.41,9.93,7
0.14,3.82,4.19,1.16,6.51,7
0.0,2.38,2.86,5.61,0.73,5
0.19,4.86,3.46,1.76,9.79,7
0.09,9.85,1.99,4.7,1.99,6
0.08,7.62,1.55,2.07,2.45,6
0.0,5.57,0.0,1.87,0.03,2
1.55,0.4,0.37,3.56,1.19,3
0.15,6.28,8.68,9.67,4.86,7
1.78,7.25,0.1,7.09,9.24,4
0.0,6.16,9.63,6.53,0.18,5
0.02,4.67,4.73,7.91,6.2,7
8.95,8.67,5.74,8.35,9.25,1
0.0,3.91,1.16,7.02,0.64,5
5.52,5.99,6.9,6.26,4.41,1
0.0,4.78,5.81,1.94,0.03,5
0.01,9.5,9.66,8.99,2.07,6
0.0,5.96,0.03,6.61,0.06,2
1.35,9.54,0.19,1.21,3.66,4
0.0,4.13,0.07,1.85,0.08,2
0.96,6.68,0.62,3.13,7.06,4
0.0,2.33,6.92,9.01,0.27,5
0.0,9.46,0.02,9.26,0.13,2
1.27,1.64,0.65,2.78,4.34,4
0.0,3.69,5.74,4.09,0.1,5
0.0,4.28,8.19,4.06,2.91,6
0.04,4.24,1.95,3.19,5.58,7
2.05,7.87,0.46,9.08,8.01,4
0.0,3.88,8.6,8.96,0.52,5
0.0,1.12,0.07,3.83,0.08,2
0.04,8.4,2.33,1.52,2.0,6
9.43,1.97,10.53,5.03,9.19,1
0.06,6.83,8.06,2.42,8.92,7
0.0,8.59,0.03,5.7,0.02,2
3.83,0.55,0.12,6.08,2.22,3
0.0,1.57,0.07,3.22,0.15,2
0.14,9.38,3.89,9.64,4.28,7
0.0,5.65,0.09,9.95,0.15,2
0.11,5.94,6.21,5.4,7.45,7
4.92,0.1,0.47,7.82,1.64,3
1.04,2.49,0.55,8.43,7.29,4
0.17,6.2,5.73,4.26,4.31,7
0.08,4.95,6.3,9.38,3.42,6
0.0,4.87,0.04,7.28,0.09,2
8.75,0.64,0.31,4.13,3.96,3
6.22,0.34,0.22,5.93,2.25,3
7.29,0.89,0.11,1.83,9.52,3
3.21,0.18,2.62,2.38,3.51,1
6.85,0.28,0.18,2.54,1.4,3
3.85,1.62,2.98,1.21,6.14,1
0.01,5.17,9.84,5.87,1.6,6
0.13,4.66,3.57,7.91,4.21,7
0.0,3.32,0.09,1.28,0.11,2
1.5,9.19,0.76,8.44,7.59,4
0.0,8.3,3.46,5.89,2.54,6
0.0,7.29,0.03,6.98,0.1,2
0.08,2.42,4.71,7.15,4.6,7
5.79,3.86,4.43,1.33,0.17,1
0.0,2.32,0.06,5.56,0.04,2
