C2H2,C2H4,CH4,H2,C2H6
0.0,9.47,5.72,5.9,0.2
0.0,2.37,1.36,1.78,0.53
0.0,3.63,3.04,3.25,0.54
1.84,5.78,1.7,6.73,7.85
0.14,1.48,8.74,2.0,7.89
0.0,9.56,6.76,6.95,0.01
1.88,0.56,0.33,1.89,9.48
0.03,9.36,5.53,6.15,2.29
1.28,7.72,0.97,3.96,8.68
1.83,9.83,0.51,1.88,4.51
4.58,0.76,0.17,3.24,2.68
5.51,8.8,3.27,2.89,0.46
0.0,7.13,5.9,7.94,0.63
0.02,8.44,2.44,8.03,2.35
4.52,0.8,0.43,5.91,7.02
0.0,8.25,0.02,8.51,0.09
1.57,3.47,0.99,1.91,7.77
0.04,5.63,4.52,7.93,8.68
0.13,6.82,3.01,5.02,6.05
0.11,9.86,1.05,7.25,7.61
0.14,8.63,6.51,4.51,5.05
1.54,5.23,0.29,5.2,8.19
0.0,7.11,2.2,7.38,0.52
0.15,5.86,7.04,9.73,6.02
0.0,8.26,3.75,8.55,0.76
0.0,6.57,6.13,4.51,0.59
0.0,1.32,0.05,9.03,0.03
0.0,5.52,6.25,1.29,0.67
0.18,3.3,4.19,8.49,9.98
0.06,3.39,7.55,6.66,3.24
7.55,0.68,0.18,6.32,1.83
6.18,0.8,0.14,3.03,4.87
8.12,0.46,5.7,8.82,10.48
0.07,6.06,6.07,1.33,4.8
0.77,9.72,0.24,1.77,10.77
0.11,1.86,2.26,6.26,8.95
0.02,2.11,3.3,4.03,5.87
0.0,4.78,9.15,1.21,0.65
3.97,0.96,0.34,1.56,2.12
0.0,6.06,0.03,4.89,0.12
8.58,0.29,0.26,2.01,6.85
7.49,0.96,0.35,2.07,3.86
1.43,9.33,2.58,10.85,8.84
1.17,6.33,0.43,7.62,4.01
0.0,2.51,2.44,8.33,0.58
0.03,1.78,6.13,8.38,5.98
0.0,3.0,6.92,2.65,0.86
0.11,6.75,5.33,4.95,5.28
2.28,7.33,0.12,3.53,5.85
1.15,0.73,0.27,5.89,3.75
0.0,2.51,7.46,1.21,0.52
0.0,5.83,3.47,6.04,0.54
8.13,8.38,5.14,0.55,0.95
0.0,1.17,0.04,3.23,0.04
0.0,6.15,0.01,6.81,0.14
1.39,8.12,0.88,5.35,4.5
0.16,4.27,3.65,5.76,5.45
1.04,2.49,0.55,8.43,7.29
0.08,1.3,7.96,2.43,2.56
0.1,7.03,7.2,7.67,6.44
8.33,5.87,4.01,9.16,2.06
0.0,3.29,0.01,2.43,0.06
9.26,2.89,9.36,9.95,5.6
0.7,2.98,0.58,9.39,8.82
0.0,4.25,0.03,8.81,0.04
0.08,2.72,1.81,9.08,1.81
1.82,0.61,0.34,9.25,5.74
1.95,0.53,0.3,6.52,9.77
0.09,8.07,3.35,2.43,2.3
0.0,7.06,8.98,6.99,0.02
0.01,7.6,2.61,5.27,2.27
7.46,0.56,0.12,6.67,5.24
0.0,3.15,9.67,8.55,0.54
0.0,9.98,9.34,6.01,0.02
5.16,10.22,2.75,4.56,5.09
2.72,6.4,7.97,2.26,5.15
1.84,3.09,0.65,4.29,1.64
0.13,8.52,5.89,5.82,8.75
5.82,0.62,0.22,9.46,6.97
8.5,0.11,9.89,4.43,8.51
0.02,1.97,3.1,2.21,9.03
0.09,3.39,2.96,2.0,6.43
0.0,7.5,0.04,6.9,0.1
0.0,3.07,2.67,3.84,0.91
7.63,5.14,3.65,2.09,9.37
0.0,5.09,5.02,9.71,0.6
6.31,5.08,3.21,3.58,4.83
0.0,7.67,0.09,4.82,0.09
0.0,4.35,6.88,8.64,0.26
0.96,6.68,0.62,3.13,7.06
0.11,5.48,2.12,1.01,5.9
5.97,0.9,0.31,9.97,2.56
0.07,8.36,8.08,3.7,3.94
6.05,0.7,0.33,5.59,8.39
0.0,7.41,1.78,3.03,0.86
0.01,7.41,5.48,6.68,1.34
3.8,8.38,6.62,9.96,9.28
0.04,3.38,9.87,5.01,4.89
0.71,5.55,0.33,3.81,8.7
0.02,4.09,8.03,8.7,2.42
0.05,6.83,5.23,5.23,3.67
1.51,0.64,0.27,6.22,7.45
0.0,2.66,0.01,7.13,0.01
2.25,7.32,0.63,9.13,2.09
1.57,3.82,0.44,7.91,8.95
1.42,5.0,0.85,8.16,6.98
0.0,4.33,9.67,1.58,0.43
0.14,1.1,2.24,8.55,8.18
1.36,4.05,0.13,8.74,6.74
0.0,3.69,6.5,8.2,0.94
1.96,1.45,4.37,3.6,0.22
2.14,5.85,0.79,1.23,5.74
0.0,9.01,6.68,4.19,0.34
2.2,9.55,0.32,5.39,9.2
1.33,8.09,0.24,1.81,4.75
0.06,6.43,4.76,4.94,3.64
3.21,0.69,0.33,2.73,1.4
0.0,5.92,0.09,9.67,0.13
5.86,0.93,0.43,4.9,6.85
0.15,6.22,6.64,3.33,8.95
4.64,0.52,0.43,1.32,1.7
0.07,4.02,1.8,2.37,7.88
0.72,3.79,0.38,1.56,5.1
0.0,3.07,0.04,4.02,0.02
1.9,1.16,0.49,8.54,3.51
0.13,2.81,2.59,7.76,7.21
0.13,4.49,6.43,1.24,7.84
2.42,3.1,0.32,1.99,8.15
1.33,0.7,0.31,4.04,5.08
10.24,7.06,4.49,5.74,3.65
2.28,8.11,0.64,5.53,7.51
0.0,7.87,0.01,9.72,0.11
0.0,3.54,9.74,7.13,0.43
0.0,6.23,3.99,1.68,0.67
0.0,2.74,3.08,2.35,0.94
0.0,9.39,0.03,4.95,0.1
0.18,8.22,1.53,3.25,8.46
0.0,8.86,9.33,9.08,0.74
5.64,0.78,0.33,9.41,1.75
7.84,0.67,0.5,5.52,6.46
0.0,3.13,0.03,9.88,0.14
0.0,1.05,9.54,3.86,0.18
0.0,4.52,3.4,9.76,0.29
0.0,7.83,5.55,3.53,0.18
0.0,5.49,8.37,2.34,0.66
4.48,0.32,0.39,4.58,8.44
0.12,9.97,4.78,8.52,8.74
0.02,5.72,3.32,3.14,6.21
0.08,5.63,9.88,5.16,2.31
0.0,3.56,2.89,5.55,0.82
0.0,5.38,0.03,1.12,0.15
0.04,3.38,7.6,8.03,1.24
0.01,6.71,6.96,8.07,1.08
0.18,5.28,2.19,3.16,7.43
0.0,2.41,5.27,7.42,0.36
0.0,3.24,5.17,3.22,0.77
3.06,0.55,0.29,7.69,1.63
2.31,3.78,0.94,6.5,2.98
0.05,5.69,4.18,3.22,8.09
0.0,8.81,0.05,1.37,0.17
0.06,3.21,2.34,5.62,5.18
0.02,2.77,6.17,3.28,2.63
2.37,5.16,0.28,8.79,8.18
0.15,3.67,9.29,4.42,5.69
0.09,1.78,2.65,6.02,6.33
0.0,6.87,0.08,8.81,0.11
0.12,7.39,3.91,4.4,6.8
1.97,0.36,0.41,1.76,9.45
0.93,9.84,0.19,8.03,5.14
0.74,3.64,0.46,5.46,6.14
0.0,6.72,6.48,2.49,0.87
0.01,5.91,2.14,8.51,3.31
0.1,3.4,3.88,7.32,6.96
0.0,9.26,2.48,2.54,0.07
1.31,0.85,0.39,3.39,9.62
0.07,6.05,5.66,9.15,7.35
7.99,0.15,0.47,2.57,2.4
0.0,9.53,0.01,5.3,0.19
0.0,5.47,0.03,2.97,0.09
0.0,5.41,0.09,8.4,0.03
6.66,3.01,10.6,6.54,6.57
0.0,6.98,0.04,1.49,0.15
8.15,0.91,0.22,7.33,8.58
0.08,3.94,4.94,5.04,8.04
1.83,1.22,0.97,9.07,8.97
1.46,0.37,0.26,4.71,5.51
0.0,3.37,0.03,5.64,0.01
0.04,9.55,9.52,7.43,6.21
0.06,2.01,2.34,8.56,3.67
10.33,7.75,3.21,1.76,10.12
9.81,6.82,9.04,6.42,1.39
0.91,9.77,0.53,7.65,4.54
0.1,2.7,5.0,2.23,4.32
0.0,1.02,0.07,9.05,0.05
0.01,5.03,3.22,7.1,7.64
0.45,5.76,7.69,9.38,10.45
0.0,9.0,9.87,1.41,0.79
0.0,9.61,2.34,4.67,1.89
0.0,6.98,2.65,1.87,0.51
0.08,3.96,7.48,4.25,3.37
1.62,4.4,0.27,4.04,9.69
1.99,8.16,2.25,7.26,4.11
0.59,3.95,6.36,1.67,7.89
6.04,0.6,0.2,7.0,4.02
0.02,5.52,3.8,3.57,3.08
0.93,2.56,0.12,2.37,4.85
1.47,7.92,0.97,1.86,9.15
1.61,4.13,0.86,6.41,4.2
1.35,1.14,0.85,4.49,5.55
1.37,2.03,0.31,2.48,9.98
4.18,0.83,0.12,6.3,2.76
0.01,3.63,1.39,5.22,3.12
0.01,6.66,6.14,7.59,3.33
0.09,1.52,7.56,1.11,1.08
10.53,0.42,1.05,6.56,1.05
0.0,2.92,0.02,5.55,0.05
0.0,5.56,0.04,1.75,0.0
6.1,7.77,0.79,5.27,1.19
2.0,3.11,0.57,3.25,5.49
0.0,9.96,2.42,6.32,0.2
4.31,9.08,5.88,10.24,7.32
6.94,0.47,0.45,8.31,7.39
5.26,0.65,0.48,3.52,2.47
10.13,9.84,7.45,0.65,8.7
0.0,1.61,4.31,5.35,0.15
0.11,1.94,7.36,6.41,5.05
5.79,0.62,2.79,6.02,3.71
0.13,9.76,2.65,4.48,5.96
0.0,5.22,3.68,1.45,0.01
0.0,5.4,0.04,5.65,0.07
0.01,2.17,7.55,6.41,4.28
0.08,5.45,3.36,3.42,2.36
1.11,8.79,10.26,5.35,5.35
0.17,4.99,9.6,7.14,4.46
0.0,4.72,8.44,1.75,0.96
0.14,6.83,5.97,9.41,5.16
10.09,10.56,9.76,1.89,4.88
1.47,5.18,0.28,9.49,3.76
0.0,8.81,6.74,9.92,0.89
10.31,5.08,8.55,0.54,10.57
2.25,2.23,0.55,5.86,7.72
0.0,6.19,0.08,2.87,0.11
0.08,3.97,9.64,4.93,2.88
0.96,6.92,0.96,5.22,8.79
8.32,0.17,0.31,9.05,4.91
0.0,9.93,0.01,5.71,0.05
0.0,3.97,5.68,9.56,0.44
0.0,2.72,8.95,4.03,0.77
0.05,4.17,2.76,9.12,1.13
6.57,3.1,6.01,4.12,8.71
4.92,0.1,0.47,7.82,1.64
0.0,2.98,2.91,5.19,0.13
1.84,4.53,1.65,1.22,0.05
4.27,0.1,0.11,8.5,7.63
0.71,3.65,0.47,7.77,8.31
5.44,0.57,0.13,7.31,8.55
2.13,9.94,0.12,5.53,5.6
10.06,9.46,7.25,10.39,0.07
0.0,8.95,3.16,7.55,0.09
0.01,6.99,9.79,2.42,2.61
0.14,6.34,6.32,3.41,8.58
0.02,4.19,4.3,5.31,3.82
0.0,7.15,7.94,7.05,0.34
0.01,8.61,6.49,6.85,3.59
0.0,8.29,5.46,9.87,0.3
0.08,7.21,8.27,5.69,1.84
6.08,9.33,10.21,2.0,10.11
0.0,9.96,6.28,5.02,0.09
0.0,6.52,0.07,2.76,0.05
1.63,4.18,0.79,8.19,8.71
2.19,0.91,0.11,1.39,7.8
2.29,6.2,9.77,7.2,4.69
0.0,4.95,0.05,8.68,0.18
0.06,9.26,6.75,1.35,7.76
0.0,1.75,5.32,4.45,9.08
0.06,5.65,3.76,3.69,6.87
0.0,6.54,5.06,9.56,0.95
0.07,2.46,9.44,8.91,2.21
6.49,0.34,0.34,5.24,8.34
0.13,9.74,5.98,8.31,6.8
0.02,2.59,4.41,5.19,6.68
2.34,1.19,0.66,2.86,9.93
0.08,2.42,4.71,7.15,4.6
0.0,1.43,0.05,1.3,0.15
0.04,7.68,3.85,6.54,1.16
1.91,3.42,0.94,6.6,3.16
3.23,1.54,7.3,4.14,6.08
0.0,7.51,8.95,8.73,0.85
7.37,0.61,0.4,3.33,5.18
0.12,7.29,2.36,1.74,6.52
9.3,7.69,7.66,0.5,4.92
0.05,3.72,3.05,4.63,4.44
2.56,6.21,6.45,5.07,0.03
0.0,2.14,0.06,2.39,0.06
5.16,0.61,0.44,6.53,7.32
1.27,0.75,0.12,7.04,2.22
1.46,2.91,0.52,3.78,8.6
0.0,4.2,0.05,1.08,0.17
5.16,0.62,0.44,6.81,5.1
1.61,1.28,0.94,6.04,2.73
0.07,1.98,5.47,9.58,1.17
9.27,0.65,0.48,5.54,4.42
0.05,8.45,9.58,2.06,6.55
9.76,0.11,0.21,2.46,4.1
0.0,9.19,0.02,4.42,0.16
1.58,7.9,0.25,4.95,7.43
0.63,10.41,2.38,8.67,6.22
0.0,4.22,0.01,7.66,0.04
0.0,2.17,0.04,5.52,0.07
0.75,4.82,0.74,2.98,8.82
0.05,3.9,9.32,2.81,5.04
9.43,1.97,10.53,5.03,9.19
0.07,6.39,8.71,2.45,2.41
0.0,3.65,8.6,8.16,0.23
0.07,3.96,2.11,6.42,1.59
0.0,9.15,0.09,5.14,0.06
1.21,1.82,0.32,3.03,8.59
0.0,1.56,6.47,2.38,0.87
5.29,0.41,0.23,5.21,2.47
9.15,5.97,1.18,1.62,3.05
0.19,2.88,7.47,1.53,9.66
0.82,7.65,0.92,5.06,6.33
0.0,6.82,0.01,9.1,0.14
8.27,0.56,0.17,9.6,2.5
10.41,10.11,3.06,4.87,2.67
0.08,7.17,7.27,1.01,7.22
0.01,4.39,8.07,1.3,1.63
6.08,8.78,8.77,0.85,1.0
4.32,3.54,5.29,7.59,3.21
0.0,7.4,1.82,4.3,0.32
0.0,9.45,1.19,9.72,0.72
10.05,8.56,7.21,10.12,2.76
1.24,0.12,0.46,8.71,3.68
0.13,6.73,7.79,2.79,4.38
1.5,8.22,0.64,8.46,2.31
1.9,2.22,0.92,5.79,2.72
8.49,0.95,0.32,1.03,3.38
0.16,3.21,9.73,2.15,6.37
0.0,1.65,5.66,2.37,0.8
3.14,0.66,7.67,6.98,8.8
0.0,3.1,0.04,9.88,0.13
0.0,6.52,0.01,1.83,0.12
0.09,1.57,8.84,8.27,1.96
3.17,0.85,0.32,9.75,6.02
0.0,7.19,2.78,5.41,0.35
0.02,3.19,6.1,1.41,3.11
0.12,2.45,8.04,4.77,4.98
0.71,7.81,0.92,7.77,8.1
9.8,0.53,0.22,2.81,6.24
0.09,2.93,5.96,8.95,1.88
2.9,0.51,0.22,8.57,4.04
5.41,0.24,0.12,4.04,3.67
0.0,6.75,5.17,8.82,0.8
0.08,2.7,8.51,6.6,2.98
5.69,0.85,0.43,9.22,3.81
5.85,0.68,0.16,9.78,8.41
0.0,6.39,4.22,9.51,0.75
0.0,2.78,3.89,6.65,0.25
5.97,0.11,0.36,5.31,9.81
0.08,9.94,2.31,6.3,4.91
0.03,7.95,1.57,1.52,7.93
3.15,9.66,0.7,10.31,0.03
0.05,1.46,4.53,9.37,8.16
0.0,7.48,0.02,7.43,0.08
0.0,9.57,0.03,5.8,0.09
0.0,7.59,1.68,6.18,0.63
0.0,7.69,0.07,1.75,0.04
0.01,3.89,1.27,5.59,3.27
1.7,6.94,1.86,6.69,2.35
1.8,2.62,0.18,9.93,7.13
1.27,8.54,0.17,3.13,3.72
0.0,7.31,8.36,2.79,0.38
0.9,9.65,0.7,9.43,2.23
0.0,1.15,0.01,8.22,0.05
0.73,8.7,0.43,9.06,7.92
0.1,8.62,9.08,1.31,4.85
0.0,5.07,0.0,3.23,0.1
1.18,2.59,0.32,1.27,6.9
0.1,10.47,6.39,5.64,3.09
0.08,9.55,3.29,6.12,2.4
2.36,5.49,0.73,3.42,5.52
0.01,5.78,9.11,4.3,1.22
7.7,0.22,0.45,1.49,6.53
0.08,9.28,7.48,6.25,5.13
2.25,0.16,0.36,6.22,7.58
2.41,0.15,0.45,8.86,3.1
0.08,6.48,5.45,6.06,1.61
0.0,2.62,3.51,5.55,0.78
0.0,3.07,9.01,8.27,0.49
0.06,7.43,9.89,7.42,3.39
0.11,3.77,3.06,2.69,5.95
2.59,4.65,1.5,10.37,1.39
1.46,4.16,0.77,4.11,7.21
0.0,8.51,8.69,6.64,0.98
6.68,0.65,0.44,3.87,5.82
0.0,6.98,0.0,3.5,0.11
5.07,5.43,8.85,9.84,7.51
0.09,8.9,9.75,4.47,7.79
6.77,0.93,0.38,1.53,7.51
0.0,2.34,0.02,9.79,0.05
0.13,9.57,4.27,3.42,8.73
0.0,8.65,0.08,8.8,0.03
6.04,0.9,0.14,1.05,2.86
0.08,7.69,7.07,7.74,2.62
2.35,5.74,0.69,3.12,8.69
7.86,0.38,0.23,8.6,4.36
4.42,0.69,0.12,4.48,1.43
0.04,2.16,8.55,2.7,1.96
0.01,9.06,9.81,7.29,3.77
0.03,2.94,4.06,1.11,7.27
0.0,1.31,0.08,1.5,0.18
2.63,4.28,2.25,1.74,0.83
0.0,7.31,0.02,6.16,0.05
1.76,1.42,0.89,4.33,7.48
0.16,7.03,5.77,9.41,9.93
1.94,8.08,0.11,1.56,3.11
2.47,0.92,0.35,1.19,3.12
2.04,7.88,0.6,3.68,4.59
0.07,9.39,7.26,6.32,6.68
0.0,4.16,0.02,2.35,0.0
0.0,3.7,0.06,4.14,0.13
0.06,5.18,1.16,2.07,2.15
1.16,0.72,0.25,5.39,3.97
0.13,5.94,2.23,5.01,9.1
0.0,5.32,7.39,5.71,8.52
0.0,4.39,0.08,7.31,0.11
8.33,4.0,3.61,5.6,7.11
0.91,8.95,0.93,6.76,2.09
1.5,1.36,0.2,3.9,9.0
0.0,6.49,0.04,1.02,0.1
0.08,8.89,1.66,7.43,3.55
0.02,8.05,9.44,6.02,7.76
0.0,8.9,1.17,4.12,0.56
3.62,0.12,0.35,5.98,1.03
0.0,8.85,0.04,8.69,0.18
7.06,0.12,0.21,8.29,2.59
0.09,6.64,2.64,9.5,4.91
0.0,4.46,0.04,7.6,0.12
1.3,1.65,0.46,7.84,2.65
7.77,9.53,2.22,9.73,8.17
9.89,2.03,1.13,2.43,1.51
0.04,9.12,3.85,7.19,1.59
8.98,0.29,0.35,9.66,9.44
6.17,0.37,0.15,5.04,9.61
1.96,0.97,0.43,6.11,6.24
0.0,3.32,8.8,6.77,0.19
5.24,8.23,0.29,9.74,8.43
0.08,4.95,6.3,9.38,3.42
1.55,4.5,0.12,9.6,8.79
1.31,8.07,0.86,8.45,7.29
2.68,0.87,0.3,2.86,2.5
0.0,5.03,0.09,6.85,0.04
0.01,6.46,7.2,4.3,9.88
10.13,1.31,3.85,7.94,8.75
0.0,5.01,6.23,9.46,0.23
7.72,0.57,0.24,7.97,3.25
0.0,6.19,4.31,5.55,0.56
0.18,4.25,2.08,8.33,8.78
1.82,7.0,0.77,3.3,5.22
0.0,7.81,0.07,6.34,0.12
1.69,1.84,8.92,5.73,3.18
0.03,2.2,5.2,3.42,8.14
0.0,5.87,0.07,7.64,0.05
0.0,6.15,0.05,7.11,0.01
0.12,9.83,6.21,5.52,9.29
0.02,1.89,2.99,9.8,2.32
0.0,9.5,8.64,9.78,0.64
1.8,2.51,0.93,9.6,2.75
1.9,0.73,0.1,6.15,3.62
0.16,1.23,8.76,4.71,6.5
0.08,9.35,5.55,6.16,3.46
0.0,4.88,0.03,5.29,0.06
5.81,6.24,5.74,6.18,10.67
0.0,5.55,0.02,6.53,0.04
0.0,8.89,0.02,3.36,0.05
0.06,7.61,5.23,9.42,2.27
0.0,7.82,3.06,3.2,0.2
6.92,0.71,0.11,7.69,3.16
2.16,2.07,0.48,6.61,5.85
7.82,0.17,0.31,1.77,3.3
8.78,0.73,0.22,3.8,6.44
0.0,7.95,7.4,4.72,0.09
0.9,5.89,0.2,1.11,5.09
0.0,9.63,4.57,5.86,0.42
0.0,4.64,7.06,9.94,0.82
7.14,6.33,5.27,3.12,1.53
0.02,9.99,5.06,6.49,1.41
3.99,0.18,0.26,2.44,6.32
0.07,5.19,8.73,1.62,8.6
0.0,7.5,0.04,2.36,0.07
0.0,9.9,0.06,3.75,0.04
0.0,4.83,2.24,9.54,0.44
0.0,3.94,7.87,7.32,0.75
0.0,4.99,0.08,7.68,0.12
0.0,5.26,3.96,8.4,0.02
0.0,3.77,0.07,9.81,0.1
0.06,1.94,9.05,8.35,8.31
0.03,3.43,3.86,8.97,9.33
5.57,6.37,2.03,0.48,3.56
0.02,7.25,8.47,3.88,1.94
0.13,2.17,6.52,9.04,8.76
0.0,2.32,0.06,5.56,0.04
0.0,3.1,0.06,8.53,0.04
0.0,4.64,0.06,9.37,0.18
4.19,7.94,5.28,5.06,7.62
0.0,6.53,5.65,4.58,0.9
0.08,1.26,4.87,8.9,2.85
3.18,8.53,9.89,7.68,7.99
0.14,2.24,5.87,8.86,6.81
1.2,2.31,0.87,2.94,2.68
0.0,3.32,8.51,3.23,0.14
0.08,3.97,4.24,4.56,3.88
0.01,5.84,8.56,3.18,3.51
0.71,6.12,0.62,2.03,4.26
0.0,7.03,4.59,5.83,0.65
0.0,6.99,6.62,4.45,0.17
0.83,2.07,0.44,1.68,5.37
7.86,10.27,3.63,4.74,3.91
0.0,8.46,0.05,3.44,0.19
2.29,8.19,0.21,7.51,4.37
0.07,9.29,3.07,3.91,1.49
0.11,5.94,6.21,5.4,7.45
6.42,0.9,0.1,6.49,3.29
0.0,3.26,0.03,9.41,0.0
0.03,5.23,9.28,5.2,3.39
3.9,0.29,0.35,6.23,3.24
0.09,9.87,6.66,6.1,3.85
0.0,8.53,2.96,3.06,0.26
2.39,5.91,9.73,0.71,7.39
0.0,9.02,2.17,1.34,0.22
10.18,2.62,4.55,7.76,2.28
6.01,0.12,0.14,5.94,3.49
0.0,5.38,5.32,5.42,0.13
0.0,7.07,6.83,7.65,0.13
10.24,2.53,1.54,3.19,8.8
0.04,8.36,8.05,5.52,1.44
0.07,8.52,9.16,5.63,8.57
0.73,4.71,0.25,6.08,8.76
5.25,0.35,0.14,2.85,6.65
0.0,5.76,8.55,1.75,0.06
0.91,9.83,0.92,1.01,8.62
0.0,5.37,0.09,5.58,0.08
0.0,4.6,0.05,5.65,0.13
8.97,9.42,0.95,7.46,1.13
2.92,0.77,10.55,1.95,7.23
0.0,8.37,0.07,2.38,0.05
4.93,9.42,9.12,4.03,9.01
1.78,0.3,0.36,3.64,7.76
0.08,7.07,7.27,4.98,4.89
7.43,7.71,5.35,5.55,5.59
0.0,3.62,4.81,7.59,0.29
0.0,6.67,4.02,5.47,0.35
0.0,9.89,2.62,4.5,0.97
8.65,0.17,0.27,5.06,1.38
0.06,6.66,9.75,9.05,1.9
6.18,4.91,7.54,4.07,6.57
0.0,7.66,0.07,9.66,0.02
0.06,7.82,9.26,8.24,2.39
1.14,0.36,0.29,3.14,8.79
0.0,2.47,1.99,4.44,0.29
3.97,0.71,0.31,9.44,7.18
0.74,5.44,0.6,2.1,5.52
0.0,6.83,4.42,3.29,3.58
0.06,9.33,2.64,5.45,5.31
0.83,4.3,0.82,9.09,4.39
0.15,6.33,9.55,2.41,7.88
0.09,6.78,8.57,7.08,4.9
6.14,8.83,9.23,6.59,5.15
0.0,2.97,5.95,4.37,0.83
6.77,0.61,0.3,8.11,2.16
0.08,3.0,1.08,3.96,6.73
3.77,0.71,0.24,1.07,3.84
7.6,8.45,6.83,8.04,1.07
0.04,8.1,1.48,9.49,8.55
0.0,2.32,0.02,3.05,0.05
5.53,0.84,0.18,8.77,9.4
0.08,7.62,1.55,2.07,2.45
0.0,8.19,0.03,9.58,0.13
8.25,1.21,7.79,2.39,7.36
1.85,8.61,0.33,1.61,6.05
0.0,9.29,1.83,2.19,3.48
0.11,2.69,3.97,2.68,7.94
0.0,2.4,0.07,6.74,0.12
0.01,7.8,1.13,8.43,1.17
7.5,1.29,9.69,2.21,1.82
0.89,3.45,0.75,9.2,6.93
0.17,8.28,2.03,9.92,7.93
0.03,1.75,7.25,2.25,7.94
0.0,5.25,0.05,4.71,0.04
0.0,4.97,0.04,5.71,0.12
0.0,4.82,0.04,4.69,0.12
0.06,8.74,1.41,2.41,3.01
0.0,7.27,9.78,6.82,0.49
1.69,2.14,0.5,2.92,8.06
0.02,4.05,6.99,8.87,2.17
0.07,3.66,2.07,8.62,2.74
0.15,1.39,1.29,9.1,4.43
2.2,8.02,0.67,3.59,2.26
0.0,3.59,0.01,8.64,0.18
0.09,1.71,2.91,9.54,7.95
0.0,6.79,0.08,7.32,0.1
0.0,5.84,0.03,9.33,0.18
0.0,3.45,8.42,2.1,0.43
0.0,8.08,7.85,6.5,0.92
0.01,5.93,1.69,6.59,1.77
0.17,1.56,6.74,7.54,7.75
0.0,1.37,0.03,3.35,0.06
0.08,7.18,4.41,6.07,4.13
0.92,9.72,1.13,9.5,2.25
0.0,4.32,7.7,4.5,1.28
2.21,9.19,0.71,4.8,6.5
0.08,6.35,5.71,5.16,2.04
8.53,0.77,0.42,4.99,8.11
1.77,3.08,0.48,8.77,6.3
1.54,1.86,0.11,3.07,2.99
0.03,5.33,5.83,5.06,7.32
0.09,2.23,8.74,7.29,3.09
6.66,2.92,10.61,0.21,2.58
6.9,0.85,0.32,1.19,6.59
2.09,2.5,0.23,2.46,7.87
0.04,8.88,5.1,1.15,1.57
0.07,1.84,4.88,7.13,8.46
2.1,0.29,0.17,5.94,8.8
0.0,5.32,1.57,3.39,0.84
2.89,10.42,9.45,2.27,5.69
0.05,4.42,6.86,8.26,4.59
0.04,4.1,6.47,5.8,4.19
5.4,0.05,8.49,4.5,6.35
1.82,7.29,0.73,7.8,8.27
2.86,7.35,3.67,5.07,9.08
0.04,4.62,2.6,9.66,3.44
0.06,1.85,2.64,4.97,2.23
0.01,3.63,1.72,8.91,2.67
0.02,7.79,2.3,9.25,4.22
8.48,1.0,0.23,9.07,3.3
1.29,4.01,0.34,3.52,3.38
0.02,4.9,3.57,1.14,2.56
0.0,4.78,0.01,9.33,0.05
8.87,0.52,0.41,7.69,7.42
0.8,7.93,0.96,2.64,7.51
1.56,0.77,0.43,2.0,4.6
0.09,2.93,4.45,7.24,4.5
2.15,5.26,0.27,2.38,3.77
0.0,8.41,1.16,3.73,0.32
1.99,7.34,0.13,9.81,6.19
2.39,2.03,0.71,4.22,8.14
1.59,4.88,0.82,8.28,4.78
1.96,8.98,0.13,9.66,7.48
1.65,6.64,5.8,6.46,2.56
8.11,0.37,0.1,2.37,9.96
0.08,2.9,2.83,6.34,4.55
0.0,7.27,0.08,5.15,0.04
0.05,1.79,2.19,4.25,2.07
0.04,4.76,2.14,7.97,2.88
0.01,2.28,6.46,6.03,2.41
0.0,3.39,0.04,3.17,0.13
0.0,5.81,8.01,2.65,0.65
0.0,8.54,4.73,8.23,0.02
2.35,6.31,0.95,5.04,4.47
0.07,5.88,7.31,6.33,3.54
0.1,8.49,7.02,3.94,9.97
0.09,4.42,7.9,1.34,3.18
5.48,6.78,9.5,0.51,7.84
0.0,8.05,0.04,6.98,0.04
0.62,7.92,0.96,3.55,7.75
0.6,2.65,6.96,1.7,10.87
0.0,3.06,7.62,7.15,0.72
0.15,7.55,3.02,5.37,8.53
0.0,8.58,0.0,2.0,0.16
0.0,8.58,6.51,7.58,0.52
6.32,0.48,0.49,8.4,9.99
0.0,1.47,0.07,3.94,0.0
4.69,0.78,0.31,1.11,4.48
0.07,7.92,6.83,4.94,4.25
0.08,9.32,2.67,2.8,1.77
1.26,9.97,0.75,2.54,9.25
0.0,5.27,4.59,4.69,0.22
1.08,0.76,0.15,8.73,1.19
0.0,3.03,6.22,4.66,0.44
0.1,7.37,4.08,9.97,6.15
0.13,2.97,1.48,6.42,6.38
0.03,6.56,3.8,3.05,3.47
7.94,2.16,9.27,9.15,1.82
0.0,5.86,0.08,5.19,0.15
1.93,1.49,4.32,1.0,3.0
0.0,3.65,6.35,1.89,0.11
0.09,1.57,3.92,5.71,4.8
1.92,6.13,0.69,4.42,6.65
0.02,7.02,7.63,2.9,8.34
0.16,8.5,7.74,3.54,9.8
0.0,9.31,0.0,1.2,0.19
0.0,9.46,0.02,9.26,0.13
2.22,9.79,0.26,6.26,8.02
0.05,6.48,4.47,4.57,6.93
0.03,1.63,1.34,3.47,6.94
0.0,6.29,7.16,4.6,0.76
0.02,7.58,1.17,3.1,7.56
1.9,1.92,0.13,5.75,8.28
